YEAR,Rk,Team,Conf,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Age,PW,PL,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
2009,24,Golden State Warriors,W,29,53,0.354,-3.74,109.94,113.76,-3.82,-3.8,109.98,113.86,-3.89,25,31,51,-0.06,-3.8,109.5,113.3,98.2,0.339,0.209,0.549,0.497,12.9,26.1,0.268,0.508,12.9,68.1,0.251,Oracle Arena,"776,660","18,943"
2015,19,Boston Celtics,E,40,42,0.488,0.16,105.32,105.17,0.15,-0.4,105.14,105.58,-0.44,25,41,41,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208,TD Garden,"721,350","17,594"
2016,14,Detroit Pistons,E,44,38,0.537,0.61,106.78,106.19,0.59,0.43,106.88,106.48,0.4,25,43,39,-0.18,0.43,106.1,105.5,95.1,0.296,0.303,0.522,0.491,12.2,27,0.197,0.504,12.5,79.3,0.196,The Palace of Auburn Hills,"677,138","16,516"
2005,12,Chicago Bulls,E,47,35,0.573,1.06,102.14,101.01,1.13,0.65,101.84,101.15,0.69,25,44,38,-0.41,0.65,101.4,100.3,92.4,0.311,0.217,0.517,0.471,15.5,28.4,0.233,0.454,14.4,72.6,0.262,United Center,"828,384","20,204"
2017,28,Los Angeles Lakers,W,26,56,0.317,-6.88,106.69,113.72,-7.02,-6.29,106.96,113.38,-6.42,25.1,24,58,0.58,-6.29,106,113,98.5,0.259,0.295,0.537,0.501,13.5,25,0.195,0.542,13,75.8,0.213,STAPLES Center,"776,917","18,949"
2010,22,Golden State Warriors,W,26,56,0.317,-3.6,108.7,112.31,-3.61,-3.28,108.77,112.05,-3.28,25.1,32,50,0.32,-3.28,108.1,111.7,100.4,0.294,0.238,0.557,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,Oracle Arena,"739,120","18,027"
2018,24,Brooklyn Nets,E,28,54,0.341,-3.74,107.71,111.51,-3.8,-3.67,107.83,111.55,-3.72,25.1,31,51,0.07,-3.67,106.9,110.6,98.9,0.26,0.411,0.551,0.514,13.6,21,0.201,0.517,11,77,0.201,Barclays Center,"640,010","15,376"
2006,7,Los Angeles Lakers,W,45,37,0.549,2.5,109.26,106.59,2.67,2.53,109.46,106.77,2.69,25.1,48,34,0.03,2.53,108.4,105.7,90.9,0.329,0.24,0.539,0.495,13.1,28.8,0.245,0.486,13.4,73.6,0.242,STAPLES Center,"774,189","18,883"
2018,11,Denver Nuggets,W,46,36,0.561,1.48,113.02,111.4,1.62,1.57,113.21,111.5,1.71,25.1,45,37,0.09,1.57,112.5,111,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,Pepsi Center,"702,796","17,141"
2012,3,Oklahoma City Thunder,W,47,19,0.712,6.12,110.33,103.77,6.56,6.44,110.3,103.37,6.93,25.1,46,20,0.32,6.44,109.8,103.2,93,0.334,0.252,0.567,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207,Chesapeake Energy Arena,"600,699","18,203"
2006,27,Charlotte Bobcats,E,26,56,0.317,-4,103.14,107.48,-4.33,-3.9,103.06,107.27,-4.21,25.2,30,52,0.1,-3.9,102.5,106.7,93.4,0.319,0.184,0.509,0.464,13,27.1,0.233,0.514,16.5,70.7,0.263,Charlotte Bobcats Arena,"671,011","16,366"
2003,25,Chicago Bulls,E,30,52,0.366,-5.13,101.03,106.3,-5.27,-5.3,100.99,106.45,-5.47,25.2,27,55,-0.17,-5.31,100.2,105.6,93.5,0.3,0.148,0.512,0.471,15.4,27.7,0.217,0.47,13.3,69.5,0.263,United Center,"804,309","19,617"
2013,24,Philadelphia 76ers,E,34,48,0.415,-3.34,102.69,106.37,-3.68,-3.51,102.59,106.45,-3.86,25.2,31,51,-0.17,-3.51,102,105.7,91,0.2,0.209,0.509,0.481,12.5,24.9,0.146,0.495,13.7,73.4,0.2,Wells Fargo Center,"685,412","16,717"
2011,21,Golden State Warriors,W,36,46,0.439,-2.33,108.96,111.39,-2.43,-2,109,111.08,-2.08,25.2,35,47,0.33,-2,108.2,110.7,94.8,0.241,0.248,0.544,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,Oracle Arena,"766,398","18,693"
2010,18,Toronto Raptors,E,40,42,0.488,-1.78,112.19,113.89,-1.69,-1.83,112.45,114.2,-1.75,25.2,36,46,-0.05,-1.83,111.3,113.2,93.1,0.319,0.211,0.564,0.521,12.7,24.7,0.244,0.513,11.8,72.9,0.247,Air Canada Centre,"733,784","17,897"
2017,13,Denver Nuggets,W,40,42,0.488,0.51,113.9,113.43,0.47,0.7,114.06,113.39,0.67,25.2,42,40,0.19,0.7,113.2,112.7,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,Pepsi Center,"605,585","14,672"
2003,13,Phoenix Suns,W,44,38,0.537,1.13,104.48,103.21,1.27,1.57,104.58,102.83,1.74,25.2,44,38,0.43,1.57,103.7,102.5,91.5,0.285,0.17,0.514,0.473,13.7,29.7,0.211,0.47,14.8,70.3,0.222,America West Arena,"666,559","16,258"
2011,10,Memphis Grizzlies,W,46,36,0.561,2.34,108.52,105.98,2.55,2.55,108.42,105.65,2.77,25.2,48,34,0.2,2.55,107.6,105.1,91.9,0.291,0.136,0.534,0.493,13,28.9,0.218,0.502,15.7,72.5,0.228,FedEx Forum,"600,687","14,651"
2016,8,Boston Celtics,E,48,34,0.585,3.21,107.3,104.1,3.2,2.84,107.24,104.43,2.81,25.2,50,32,-0.37,2.84,106.8,103.6,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,TD Garden,"749,076","18,270"
2005,2,Phoenix Suns,W,62,20,0.756,7.12,115.01,107.53,7.49,7.08,115.06,107.63,7.43,25.2,59,23,-0.04,7.08,114.5,107.1,95.9,0.296,0.289,0.571,0.534,12.4,27.5,0.222,0.478,12,68.3,0.176,America West Arena,"726,066","17,709"
2000,25,Vancouver Grizzlies,W,22,60,0.268,-5.62,103.34,109.5,-6.17,-5.1,103.66,109.26,-5.6,25.3,25,57,0.52,-5.1,102.3,108.5,91,0.32,0.139,0.524,0.474,15.8,30.1,0.247,0.502,14.1,70.6,0.231,General Motors Place,"569,864",
2003,23,Los Angeles Clippers,W,27,55,0.329,-4.12,103,107.51,-4.51,-3.44,103.3,107.07,-3.77,25.3,29,53,0.68,-3.45,102.3,106.8,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,"706,471","17,231"
2012,22,Golden State Warriors,W,23,43,0.348,-3.41,105.97,109.66,-3.69,-2.79,106,109.01,-3.01,25.3,25,41,0.62,-2.79,105.4,109.1,92.3,0.227,0.248,0.539,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,Oracle Arena,"622,311","18,858"
2017,30,Orlando Magic,E,29,53,0.354,-6.57,104.23,111.11,-6.88,-6.61,104.3,111.21,-6.92,25.3,24,58,-0.04,-6.61,103.7,110.5,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,Amway Center,"727,875","17,753"
2013,26,Detroit Pistons,E,29,53,0.354,-3.99,104.57,109.03,-4.46,-4.32,104.56,109.37,-4.82,25.3,29,53,-0.34,-4.33,103.8,108.1,90.8,0.282,0.217,0.521,0.487,14.3,28.3,0.197,0.505,13.1,73,0.209,The Palace of Auburn Hills,"606,094","14,685"
2006,20,Boston Celtics,E,33,49,0.402,-1.54,106.12,107.86,-1.73,-1.59,106.05,107.83,-1.78,25.3,37,45,-0.05,-1.59,105.2,106.9,92.2,0.349,0.204,0.551,0.504,15.7,25.5,0.263,0.49,13.8,72.8,0.282,TD Banknorth Garden,"692,873","16,899"
2008,14,Philadelphia 76ers,E,40,42,0.488,0.41,107.38,106.91,0.47,0.19,107.25,107.01,0.24,25.3,42,40,-0.23,0.19,106.4,106,90.4,0.321,0.143,0.522,0.482,13.4,31.8,0.227,0.504,15.1,72,0.205,Wachovia Center,"609,675","14,870"
2007,12,Los Angeles Lakers,W,42,40,0.512,-0.07,109.09,109.28,-0.19,0.24,109.18,109.02,0.16,25.3,41,41,0.32,0.24,108.6,108.6,93.5,0.333,0.259,0.554,0.511,14.3,26.1,0.249,0.5,13.5,72.3,0.262,STAPLES Center,"778,415","18,986"
2011,15,New York Knicks,E,42,40,0.512,0.78,111.76,110.92,0.84,0.48,112,111.48,0.51,25.3,43,39,-0.3,0.48,110.9,110.1,95.6,0.304,0.303,0.561,0.513,12.6,24.2,0.246,0.511,13.8,71.9,0.24,Madison Square Garden (IV),"808,879","19,729"
2005,17,Washington Wizards,E,45,37,0.549,-0.33,107.94,108.32,-0.38,-0.72,107.91,108.7,-0.79,25.3,40,42,-0.38,-0.71,107.2,107.5,93.3,0.364,0.22,0.523,0.474,12.9,31.1,0.264,0.498,14.6,70,0.23,MCI Center,"705,069","17,197"
2015,13,New Orleans Pelicans,W,45,37,0.549,0.79,108.95,108.15,0.8,1.13,109.04,107.88,1.16,25.3,43,39,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,Smoothie King Center,"683,757","16,677"
2013,11,Golden State Warriors,W,47,35,0.573,0.89,107.1,106.04,1.06,1.32,107.13,105.61,1.52,25.3,44,38,0.42,1.32,106.4,105.5,94.5,0.255,0.239,0.545,0.506,14,25.4,0.201,0.486,12.4,75.5,0.211,Oracle Arena,"794,320","19,374"
2008,4,Utah Jazz,W,54,28,0.659,6.88,114.52,107.05,7.47,6.87,114.6,107.15,7.44,25.3,59,23,-0.01,6.86,113.8,106.5,93.2,0.349,0.166,0.573,0.528,13.6,29.5,0.265,0.501,15,74.1,0.294,EnergySolutions Arena,"816,211","19,908"
2008,29,Seattle SuperSonics,W,20,62,0.244,-8.76,101.17,110.16,-8.99,-8.04,101.3,109.54,-8.24,25.4,19,63,0.72,-8.04,100.5,109.5,96.3,0.265,0.134,0.509,0.467,14.3,26.8,0.204,0.503,11.9,73.7,0.215,KeyArena at Seattle Center,"547,556","13,355"
2018,26,Atlanta Hawks,E,24,58,0.293,-5.45,105.74,111.21,-5.47,-5.3,105.81,111.12,-5.31,25.4,27,55,0.15,-5.3,105,110.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,"590,769","14,409"
2009,25,Minnesota Timberwolves,W,24,58,0.293,-4.91,106.75,112.18,-5.43,-4.74,106.78,112,-5.23,25.4,27,55,0.18,-4.74,106.1,111.4,91.6,0.289,0.227,0.526,0.481,13.3,27.7,0.222,0.515,12,75,0.254,Target Center,"595,013","14,513"
2014,26,Boston Celtics,E,25,57,0.305,-4.46,103.82,108.63,-4.81,-4.98,103.69,109.03,-5.34,25.4,28,54,-0.51,-4.97,102.9,107.7,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,TD Garden,"742,400","18,107"
2010,25,Philadelphia 76ers,E,27,55,0.329,-3.9,106.93,111.35,-4.42,-3.93,107.15,111.58,-4.43,25.4,30,52,-0.03,-3.93,106.1,110.3,91.6,0.27,0.206,0.534,0.496,13.7,27.6,0.204,0.518,13.8,73.2,0.231,Wachovia Center,"583,219","14,225"
2013,22,Washington Wizards,E,29,53,0.354,-2.54,100.78,103.61,-2.82,-2.78,100.56,103.64,-3.09,25.4,33,49,-0.25,-2.78,100.2,103,92.2,0.261,0.223,0.512,0.475,14.2,24.6,0.191,0.483,13.7,74.6,0.206,Verizon Center,"670,070","16,343"
2010,23,New York Knicks,E,29,53,0.354,-3.82,108.22,112.2,-3.98,-4.01,108.33,112.52,-4.19,25.4,31,51,-0.19,-4.01,107.6,111.6,94,0.256,0.312,0.547,0.509,13,23.5,0.2,0.526,13.3,72.1,0.207,Madison Square Garden (IV),"799,550","19,501"
2007,22,New York Knicks,E,33,49,0.402,-2.85,106.39,109.53,-3.14,-3.06,106.45,109.82,-3.38,25.4,33,49,-0.21,-3.06,105.7,108.8,90.8,0.377,0.216,0.539,0.494,15.9,31,0.27,0.504,13,74,0.246,Madison Square Garden (IV),"770,617","18,796"
2013,18,Toronto Raptors,E,34,48,0.415,-1.48,106.58,107.98,-1.4,-1.95,106.51,108.45,-1.93,25.4,37,45,-0.48,-1.96,105.9,107.5,90.4,0.274,0.249,0.532,0.488,13,25.5,0.216,0.5,13.6,73.4,0.247,Air Canada Centre,"743,936","18,145"
2000,20,Boston Celtics,E,35,47,0.427,-0.76,105.41,106.26,-0.85,-1,105.46,106.57,-1.11,25.4,39,43,-0.24,-1,104.8,105.6,94.6,0.316,0.183,0.52,0.474,13.8,30.4,0.236,0.498,15.8,73.8,0.306,FleetCenter,"683,608",
2017,21,Detroit Pistons,E,37,45,0.451,-1.12,106.53,107.9,-1.37,-1.29,106.39,107.93,-1.54,25.4,38,44,-0.17,-1.29,106,107.1,95,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,The Palace of Auburn Hills,"655,141","15,979"
2015,12,Oklahoma City Thunder,W,45,37,0.549,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54,25.4,47,35,0.28,2.47,107.8,105.5,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213,Chesapeake Energy Arena,"746,323","18,203"
2014,5,Houston Rockets,W,54,28,0.659,4.56,111.72,107.07,4.65,5.06,111.82,106.65,5.17,25.4,53,29,0.5,5.06,111,106.3,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,Toyota Center,"743,082","18,124"
2002,29,Chicago Bulls,E,21,61,0.256,-8.54,99.05,108.56,-9.51,-8.52,99.21,108.72,-9.5,25.5,18,64,0.02,-8.52,98.2,107.6,90.5,0.302,0.134,0.499,0.456,14.6,26.6,0.218,0.497,13.7,71.4,0.239,United Center,"776,311","18,934"
2002,28,Memphis Grizzlies,W,23,59,0.28,-7.44,98.9,107.09,-8.19,-6.74,98.92,106.32,-7.4,25.5,20,62,0.7,-6.74,98.2,106.3,91.1,0.288,0.168,0.501,0.462,15.4,27.8,0.204,0.486,13.7,68,0.197,Pyramid Arena,"591,030","14,415"
2012,23,New Orleans Hornets,W,21,45,0.318,-3.76,101.82,105.98,-4.16,-3.11,101.68,105.11,-3.44,25.5,24,42,0.65,-3.11,100.9,105.1,88.3,0.274,0.152,0.517,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,New Orleans Arena,"498,618","15,110"
2007,27,Charlotte Bobcats,E,33,49,0.402,-3.74,104.29,108.34,-4.04,-3.97,104.23,108.52,-4.3,25.5,30,52,-0.22,-3.97,103.6,107.6,92,0.322,0.193,0.524,0.48,13.9,26.4,0.236,0.5,14.7,71.6,0.279,Charlotte Bobcats Arena,"637,520","15,549"
2006,18,Orlando Magic,E,36,46,0.439,-1.07,106.99,108.25,-1.26,-1.26,106.84,108.29,-1.45,25.5,38,44,-0.18,-1.26,106.3,107.5,88.3,0.369,0.129,0.543,0.496,14.7,28.5,0.27,0.49,13,72.5,0.264,TD Waterhouse Centre,"638,005","15,561"
2005,16,Los Angeles Clippers,W,37,45,0.451,-0.77,106.76,107.5,-0.74,-0.47,106.78,107.2,-0.43,25.5,39,43,0.3,-0.47,105.5,106.4,89.1,0.357,0.105,0.533,0.477,14.9,30.3,0.278,0.48,13,71.3,0.235,STAPLES Center,"696,181","16,980"
2006,17,Milwaukee Bucks,E,40,42,0.488,-1.04,106.81,107.98,-1.17,-1.07,106.8,108,-1.2,25.5,38,44,-0.04,-1.07,106.3,107.4,91.2,0.322,0.203,0.535,0.492,13.8,27.3,0.238,0.504,13.8,74.6,0.262,Bradley Center,"681,337","16,618"
2014,17,Charlotte Bobcats,E,43,39,0.524,-0.22,104.31,104.61,-0.29,-0.89,104.04,105.03,-0.99,25.5,40,42,-0.67,-0.89,103.6,103.8,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,Time Warner Cable Arena,"636,268","15,519"
2009,9,Utah Jazz,W,48,34,0.585,2.65,110.84,107.89,2.96,2.31,110.52,107.93,2.59,25.5,48,34,-0.34,2.31,110.1,107.3,93.1,0.355,0.169,0.554,0.504,13.6,28.2,0.274,0.505,15,72.7,0.262,EnergySolutions Arena,"816,042","19,903"
2008,13,Golden State Warriors,W,48,34,0.585,2.21,112.46,110.24,2.22,2.38,112.59,110.19,2.39,25.5,47,35,0.17,2.38,111.8,109.5,98.8,0.276,0.295,0.548,0.511,11.5,27.2,0.208,0.509,14.7,70.3,0.258,Oracle Arena,"804,864","19,631"
2006,29,New York Knicks,E,23,59,0.28,-6.4,104.74,111.87,-7.14,-6.3,104.74,111.74,-7,25.6,24,58,0.11,-6.3,104,111,90.8,0.417,0.142,0.534,0.481,16.5,31.2,0.303,0.511,13.4,72.8,0.294,Madison Square Garden (IV),"776,176","18,931"
2018,25,Orlando Magic,E,25,57,0.305,-4.82,105.83,110.85,-5.02,-4.92,105.77,110.88,-5.11,25.6,28,54,-0.1,-4.92,105.2,110.1,98.1,0.238,0.342,0.545,0.512,13.3,20,0.18,0.525,12.8,75.6,0.187,Amway Center,"734,531","17,915"
2013,25,Sacramento Kings,W,28,54,0.341,-4.88,106.85,112.16,-5.3,-4.25,107.21,111.83,-4.62,25.6,28,54,0.62,-4.26,106.2,111.4,93.6,0.271,0.243,0.532,0.491,13.4,26.6,0.208,0.517,13.6,71,0.227,Sleep Train Arena,"563,743","13,750"
2006,16,Golden State Warriors,W,34,48,0.415,-1.35,105.36,106.79,-1.44,-1.11,105.55,106.74,-1.18,25.6,37,45,0.25,-1.11,104.8,106.2,93.3,0.323,0.27,0.521,0.479,13,26.9,0.232,0.492,14.1,71.6,0.243,Oakland Arena,"749,185","18,273"
2006,26,Seattle SuperSonics,W,35,47,0.427,-3.02,111.99,115.45,-3.45,-2.88,112.49,115.79,-3.31,25.6,33,49,0.15,-2.88,111.1,114.4,91.6,0.314,0.243,0.551,0.504,13.7,30.4,0.246,0.527,13.6,69,0.26,KeyArena at Seattle Center,"664,157","16,199"
2007,11,Orlando Magic,E,40,42,0.488,0.78,105.99,105.03,0.96,0.34,105.76,105.28,0.48,25.6,43,39,-0.43,0.35,104.9,104.1,89.9,0.393,0.158,0.544,0.5,16.3,29.3,0.276,0.48,14.6,73.7,0.286,Amway Arena,"700,887","17,095"
2006,23,Utah Jazz,W,41,41,0.5,-2.63,104.93,107.9,-2.96,-2.49,104.98,107.79,-2.81,25.6,33,49,0.14,-2.49,104.1,107,87.8,0.397,0.149,0.519,0.467,15,32.4,0.286,0.49,14,73.2,0.303,Delta Center,"751,621","18,332"
2017,17,Milwaukee Bucks,E,42,40,0.512,-0.18,109.92,110.16,-0.23,-0.44,109.96,110.46,-0.5,25.6,40,42,-0.26,-0.45,109.1,109.3,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,BMO Harris Bradley Center,"648,952","15,828"
2004,11,Denver Nuggets,W,43,39,0.524,1.07,104.61,103.73,0.88,1.65,104.66,103.13,1.52,25.6,44,38,0.58,1.65,103.9,102.7,93.3,0.319,0.146,0.517,0.467,14.2,30.5,0.245,0.481,15.6,69.3,0.221,Pepsi Center,"721,476","17,597"
2009,14,Miami Heat,E,43,39,0.524,0.26,108.34,108.28,0.06,0.49,108.56,108.24,0.32,25.6,42,40,0.23,0.49,107.8,107.6,89.9,0.282,0.245,0.54,0.5,12.1,24.6,0.212,0.501,14.5,72.9,0.251,AmericanAirlines Arena,"748,778","18,263"
2012,15,Utah Jazz,W,36,30,0.545,0.62,107.51,106.91,0.6,0.92,107.34,106.4,0.94,25.6,34,32,0.3,0.92,106.8,106.1,91.4,0.302,0.153,0.525,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245,EnergySolutions Arena,"637,124","19,307"
2014,12,Toronto Raptors,E,48,34,0.585,3.24,109.77,106.15,3.62,2.55,109.65,106.76,2.89,25.6,50,32,-0.69,2.55,108.8,105.3,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,Air Canada Centre,"748,339","18,252"
2018,9,Portland Trail Blazers,W,49,33,0.598,2.6,109.58,106.93,2.66,2.6,109.44,106.79,2.66,25.6,48,34,0,2.6,109.1,106.4,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,"795,750","19,409"
2012,11,Memphis Grizzlies,W,41,25,0.621,2.02,104.81,102.57,2.24,2.43,104.59,101.89,2.7,25.6,38,28,0.42,2.43,104,101.8,90.8,0.277,0.157,0.515,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,FedEx Forum,"518,446","15,710"
2010,3,Utah Jazz,W,53,29,0.646,5.34,111.57,105.81,5.76,5.33,111.44,105.69,5.75,25.6,55,27,-0.01,5.33,110.7,105,93.8,0.34,0.184,0.565,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,EnergySolutions Arena,"794,512","19,378"
2008,26,New York Knicks,E,23,59,0.28,-6.61,105.34,112.45,-7.11,-6.54,105.54,112.57,-7.03,25.7,23,59,0.06,-6.55,104.7,111.9,91.6,0.31,0.215,0.518,0.475,13.4,28.6,0.226,0.518,12.1,72.7,0.229,Madison Square Garden (IV),"783,739","19,116"
2005,27,Utah Jazz,W,26,56,0.317,-4.27,105.57,110.29,-4.72,-3.74,105.75,109.9,-4.16,25.7,29,53,0.53,-3.74,104.7,109.5,88.4,0.361,0.121,0.522,0.469,15,31.9,0.273,0.499,14.2,72.3,0.34,Delta Center,"769,014","18,756"
2012,24,Toronto Raptors,E,23,43,0.348,-3.3,101.57,105.32,-3.74,-3.67,101.68,105.83,-4.14,25.7,25,41,-0.36,-3.67,100.8,104.5,89.3,0.274,0.209,0.518,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,Air Canada Centre,"555,584","16,836"
2009,21,New York Knicks,E,32,50,0.39,-2.61,108.7,111.41,-2.71,-2.33,109.03,111.44,-2.41,25.7,34,48,0.28,-2.33,108.1,110.8,96.7,0.268,0.322,0.544,0.503,12.9,24.4,0.21,0.52,13,72.7,0.215,Madison Square Garden (IV),"790,801","19,288"
2002,24,Atlanta Hawks,E,33,49,0.402,-4.23,102.72,107.4,-4.68,-4.41,102.83,107.73,-4.9,25.7,29,53,-0.18,-4.41,101.8,106.4,91.9,0.294,0.181,0.517,0.471,14.6,27.5,0.225,0.495,14.1,70.9,0.218,Philips Arena,"506,110","12,344"
2008,21,Chicago Bulls,E,33,49,0.402,-3.09,104.65,107.91,-3.26,-3.19,104.6,107.96,-3.36,25.7,32,50,-0.11,-3.19,103.9,107.2,93,0.296,0.19,0.515,0.47,13.4,28.9,0.223,0.496,14.2,73.1,0.258,United Center,"901,502","21,988"
2017,22,New Orleans Pelicans,W,34,48,0.415,-2.1,105.81,108.01,-2.2,-1.69,105.79,107.57,-1.78,25.7,35,47,0.41,-1.69,105.2,107.4,98,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,Smoothie King Center,"663,099","16,173"
2009,22,New Jersey Nets,E,34,48,0.415,-2.44,109.14,111.85,-2.71,-2.31,109.33,111.89,-2.56,25.7,34,48,0.13,-2.31,108.3,111,89.9,0.303,0.265,0.543,0.497,12.7,25.2,0.236,0.509,13,73.5,0.272,Izod Center,"621,062","15,148"
2015,18,Phoenix Suns,W,39,43,0.476,-0.9,105.93,106.85,-0.92,-0.38,105.97,106.34,-0.37,25.7,38,44,0.52,-0.38,105.3,106.2,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221,US Airways Center,"693,862","16,923"
2013,9,Indiana Pacers,E,49,32,0.605,4.02,104.87,100.54,4.33,3.34,104.48,100.89,3.59,25.7,52,29,-0.69,3.34,104.3,99.8,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197,Bankers Life Fieldhouse,"626,069","15,270"
2004,29,Orlando Magic,E,21,61,0.256,-7.02,103.53,111.31,-7.78,-7.25,103.84,111.86,-8.02,25.8,22,60,-0.23,-7.25,102.7,110.4,90.8,0.296,0.184,0.504,0.461,12.8,28.1,0.218,0.502,12.7,68.7,0.214,TD Waterhouse Centre,"589,144","14,369"
2008,28,Milwaukee Bucks,E,26,56,0.317,-6.89,105.74,113.43,-7.68,-6.91,105.95,113.64,-7.69,25.8,23,59,-0.03,-6.92,105.3,112.8,91.3,0.294,0.195,0.522,0.482,13.7,30,0.215,0.524,13,73,0.25,Bradley Center,"639,421","15,596"
2009,20,Charlotte Bobcats,E,35,47,0.427,-1.27,105.42,107.01,-1.59,-1.19,105.43,106.93,-1.5,25.8,37,45,0.07,-1.2,104.7,106.1,88.3,0.312,0.213,0.536,0.494,15.1,27.7,0.231,0.498,14.4,73,0.229,Time Warner Cable Arena,"597,548","14,574"
2009,10,Atlanta Hawks,E,47,35,0.573,1.57,110.28,108.43,1.84,1.7,110.49,108.51,1.98,25.8,46,36,0.13,1.7,109.3,107.6,89.6,0.323,0.253,0.546,0.504,12.5,26,0.238,0.494,13.2,71.6,0.21,Philips Arena,"686,688","16,748"
2018,5,Philadelphia 76ers,E,52,30,0.634,4.5,110.28,105.77,4.51,4.3,110.12,105.81,4.31,25.8,53,29,-0.2,4.3,109.5,105,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,Wells Fargo Center,"833,503","20,361"
2014,7,Portland Trail Blazers,W,54,28,0.659,3.99,112.03,107.8,4.22,4.43,112.17,107.49,4.68,25.8,52,30,0.45,4.44,111.5,107.4,94.9,0.27,0.29,0.548,0.504,12.4,28,0.22,0.488,11,74.7,0.194,Moda Center,"809,612","19,747"
2016,3,Oklahoma City Thunder,W,55,27,0.671,7.28,113.76,106.22,7.54,7.09,113.64,106.29,7.35,25.8,59,23,-0.19,7.09,113.1,105.6,96.7,0.292,0.275,0.565,0.524,14,31.1,0.228,0.484,11.7,76,0.205,Chesapeake Energy Arena,"746,323","18,203"
2018,2,Toronto Raptors,E,59,23,0.72,7.78,114.6,106.56,8.03,7.3,114.5,106.96,7.54,25.8,60,22,-0.49,7.29,113.8,105.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.198,0.501,13,77.7,0.212,Air Canada Centre,"813,431","19,840"
2006,25,Toronto Raptors,E,27,55,0.329,-2.99,110.22,113.34,-3.12,-3.03,110.4,113.57,-3.17,25.9,33,49,-0.04,-3.03,109.5,112.7,91.1,0.315,0.244,0.548,0.5,12.4,25.4,0.249,0.53,13.5,73.3,0.263,Air Canada Centre,"699,332","17,057"
2002,25,Houston Rockets,W,28,54,0.341,-4.89,103.93,109.55,-5.62,-4.31,104.08,109.03,-4.95,25.9,27,55,0.58,-4.31,103.1,108.6,88.2,0.286,0.223,0.507,0.465,13.4,29,0.211,0.491,11.5,69.8,0.178,Compaq Center,"481,227","11,737"
2007,21,Seattle SuperSonics,W,31,51,0.378,-2.89,108.21,111.52,-3.31,-2.45,108.45,111.27,-2.82,25.9,33,49,0.45,-2.45,107.2,110.3,91.8,0.288,0.219,0.544,0.499,14.5,27.8,0.228,0.515,14.1,70.9,0.243,KeyArena at Seattle Center,"654,163","15,955"
