YEAR,Rk,Team,Conf,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Age,PW,PL,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
2003,28,Denver Nuggets,W,17,65,0.207,-8.28,93.2,102.26,-9.06,-7.41,93.22,101.33,-8.11,24.1,17,65,0.87,-7.41,92.2,101.3,91,0.283,0.126,0.469,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,Pepsi Center,"607,813","14,825"
2013,27,Cleveland Cavaliers,E,24,58,0.293,-4.68,105.09,110.16,-5.07,-4.87,105.24,110.52,-5.28,24.1,28,54,-0.19,-4.87,104.3,109.4,92.3,0.265,0.229,0.514,0.473,13,28.1,0.2,0.523,14.4,72.6,0.225,Quicken Loans Arena,"663,882","16,192"
2010,24,Sacramento Kings,W,25,57,0.305,-4.37,106.05,110.82,-4.76,-4.06,106.09,110.52,-4.42,24.1,29,53,0.3,-4.06,105.3,109.9,94,0.286,0.201,0.528,0.491,13.6,27.8,0.207,0.505,12.6,73.5,0.244,Power Balance Pavilion,"543,416","13,254"
2007,30,Atlanta Hawks,E,30,52,0.366,-4.76,103.83,109.24,-5.41,-4.86,103.98,109.5,-5.52,24.1,27,55,-0.1,-4.86,103,108.3,90,0.346,0.163,0.523,0.471,15.1,29.2,0.263,0.503,14.5,70.9,0.268,Philips Arena,"639,375","15,595"
2010,17,Memphis Grizzlies,W,40,42,0.488,-1.51,109.07,110.71,-1.64,-1.38,109,110.49,-1.49,24.1,37,45,0.13,-1.39,108.3,109.9,93.6,0.32,0.148,0.536,0.494,13.7,31.3,0.235,0.52,13.2,73.3,0.205,FedEx Forum,"552,914","13,486"
2006,14,Chicago Bulls,E,41,41,0.5,0.63,104.64,103.99,0.64,0.51,104.38,103.85,0.52,24.1,43,39,-0.12,0.51,104,103.4,92.9,0.292,0.219,0.527,0.487,13.9,26.3,0.216,0.464,13.9,74.7,0.295,United Center,"868,720","21,188"
2008,15,Portland Trail Blazers,W,41,41,0.5,-0.98,107.97,109.07,-1.1,-0.52,108.11,108.73,-0.61,24.1,38,44,0.45,-0.52,107.3,108.4,87.9,0.281,0.218,0.532,0.489,12.6,26.8,0.216,0.491,12.1,71.8,0.212,Rose Garden Arena,"801,566","19,550"
2000,29,Los Angeles Clippers,W,15,67,0.183,-11.52,98.61,110.91,-12.3,-10.73,99,110.44,-11.45,24.2,13,69,0.8,-10.73,97.8,110.1,93.9,0.27,0.188,0.499,0.458,14.9,26.1,0.202,0.507,13.1,69.6,0.22,STAPLES Center,"559,714",
2012,26,Washington Wizards,E,20,46,0.303,-4.8,101.75,107.03,-5.28,-5.14,101.95,107.61,-5.66,24.2,22,44,-0.34,-5.14,101,106.2,92.5,0.253,0.196,0.508,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,Verizon Center,"552,038","16,728"
2008,20,Atlanta Hawks,E,37,45,0.451,-1.82,107.6,109.52,-1.92,-2.23,107.44,109.81,-2.37,24.2,36,46,-0.41,-2.23,106.9,108.9,91.1,0.34,0.165,0.535,0.483,14,29.7,0.263,0.501,12.9,71.7,0.217,Philips Arena,"667,518","16,281"
